122816_mouseTest1
START time
16:23
treadmill_hiddenRewardRFIDhardSer_121616a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=4937
starting track calibration
read tag, millis=12262
calibration complete
track length = 4064
START SESSION button, millis = 14416
vel=254.90, currPos=2432, millis=24052
vel=352.94, currPos=2450, millis=24103
vel=450.98, currPos=2473, millis=24154
vel=490.20, currPos=2498, millis=24204
vel=440.00, currPos=2520, millis=24255
vel=423.08, currPos=2542, millis=24306
vel=392.16, currPos=2562, millis=24357
vel=352.94, currPos=2580, millis=24408
vel=360.00, currPos=2598, millis=24459
vel=333.33, currPos=2615, millis=24510
vel=307.69, currPos=2631, millis=24561
vel=294.12, currPos=2646, millis=24612
vel=260.00, currPos=2659, millis=24663
vel=313.73, currPos=2675, millis=24714
vel=333.33, currPos=2692, millis=24765
vel=365.38, currPos=2711, millis=24816
vel=380.00, currPos=2730, millis=24867
vel=352.94, currPos=2748, millis=24918
vel=333.33, currPos=2765, millis=24969
vel=320.00, currPos=2781, millis=25020
vel=288.46, currPos=2796, millis=25071
vel=294.12, currPos=2811, millis=25122
vel=254.90, currPos=2824, millis=25173
vel=240.00, currPos=2836, millis=25224
vel=215.69, currPos=2847, millis=25275
vel=333.33, currPos=2864, millis=25326
vel=365.38, currPos=2883, millis=25376
vel=360.00, currPos=2901, millis=25427
vel=352.94, currPos=2919, millis=25478
vel=313.73, currPos=2935, millis=25529
vel=294.12, currPos=2950, millis=25580
vel=274.51, currPos=2964, millis=25631
vel=274.51, currPos=2978, millis=25682
vel=274.51, currPos=2992, millis=25733
vel=254.90, currPos=3005, millis=25784
vel=260.00, currPos=3018, millis=25835
vel=269.23, currPos=3032, millis=25886
vel=196.08, currPos=3042, millis=25937
vel=180.00, currPos=3051, millis=25987
vel=137.25, currPos=3058, millis=26038
vel=98.04, currPos=3063, millis=26089
vel=96.15, currPos=3068, millis=26140
vel=60.00, currPos=3071, millis=26191
vel=39.22, currPos=3073, millis=26242
vel=39.22, currPos=3075, millis=26293
vel=-8.20, currPos=3074, millis=26414
vel=-60.00, currPos=3071, millis=26465
vel=-78.43, currPos=3067, millis=26516
vel=15.38, currPos=3068, millis=26582
vel=58.82, currPos=3071, millis=26633
vel=117.65, currPos=3077, millis=26684
vel=115.38, currPos=3083, millis=26734
vel=100.00, currPos=3088, millis=26785
vel=117.65, currPos=3094, millis=26836
vel=78.43, currPos=3098, millis=26887
vel=180.00, currPos=3107, millis=26938
vel=274.51, currPos=3121, millis=26990
lick, millis=27039
vel=269.23, currPos=3135, millis=27040
vel=180.00, currPos=3144, millis=27091
vel=117.65, currPos=3150, millis=27142
vel=78.43, currPos=3154, millis=27193
vel=39.22, currPos=3156, millis=27244
vel=19.61, currPos=3157, millis=27295
lick, millis=27306
vel=-18.87, currPos=3156, millis=27347
vel=-19.61, currPos=3155, millis=27398
vel=20.00, currPos=3156, millis=27449
vel=19.61, currPos=3157, millis=27500
lick, millis=27547
vel=-12.66, currPos=3156, millis=27579
vel=-19.61, currPos=3155, millis=27630
vel=-39.22, currPos=3153, millis=27681
vel=-39.22, currPos=3151, millis=27731
vel=14.08, currPos=3152, millis=27803
vel=58.82, currPos=3155, millis=27854
lick, millis=27871
vel=117.65, currPos=3161, millis=27905
vel=140.00, currPos=3168, millis=27955
vel=196.08, currPos=3178, millis=28007
vel=196.08, currPos=3188, millis=28058
vel=176.47, currPos=3197, millis=28108
vel=156.86, currPos=3205, millis=28159
lick, millis=28191
vel=137.25, currPos=3212, millis=28210
vel=137.25, currPos=3219, millis=28261
vel=120.00, currPos=3225, millis=28312
vel=115.38, currPos=3231, millis=28363
vel=215.69, currPos=3242, millis=28414
vel=300.00, currPos=3257, millis=28465
lick, millis=28477
vel=274.51, currPos=3271, millis=28516
vel=254.90, currPos=3284, millis=28567
vel=230.77, currPos=3296, millis=28618
vel=200.00, currPos=3306, millis=28669
lick, millis=28719
vel=176.47, currPos=3315, millis=28720
vel=137.25, currPos=3322, millis=28770
vel=140.00, currPos=3329, millis=28821
vel=173.08, currPos=3338, millis=28872
vel=235.29, currPos=3350, millis=28924
vel=274.51, currPos=3364, millis=28975
lick, millis=28977
vel=260.00, currPos=3377, millis=29026
vel=215.69, currPos=3388, millis=29077
vel=211.54, currPos=3399, millis=29128
vel=220.00, currPos=3410, millis=29178
lick, millis=29206
vel=274.51, currPos=3424, millis=29229
vel=333.33, currPos=3441, millis=29280
vel=333.33, currPos=3458, millis=29331
vel=280.00, currPos=3472, millis=29382
vel=230.77, currPos=3484, millis=29433
lick, millis=29452
vel=235.29, currPos=3496, millis=29484
vel=215.69, currPos=3507, millis=29535
vel=160.00, currPos=3515, millis=29586
vel=196.08, currPos=3525, millis=29637
vel=211.54, currPos=3536, millis=29688
lick, millis=29691
vel=235.29, currPos=3548, millis=29739
vel=200.00, currPos=3558, millis=29790
vel=156.86, currPos=3566, millis=29840
vel=117.65, currPos=3572, millis=29891
lick, millis=29915
vel=117.65, currPos=3578, millis=29942
vel=98.04, currPos=3583, millis=29993
vel=137.25, currPos=3590, millis=30044
vel=220.00, currPos=3601, millis=30095
vel=294.12, currPos=3616, millis=30146
vel=346.15, currPos=3634, millis=30197
vel=333.33, currPos=3651, millis=30248
vel=340.00, currPos=3668, millis=30299
vel=294.12, currPos=3683, millis=30350
vel=254.90, currPos=3696, millis=30401
vel=250.00, currPos=3709, millis=30452
vel=220.00, currPos=3720, millis=30503
vel=215.69, currPos=3731, millis=30554
vel=196.08, currPos=3741, millis=30605
vel=294.12, currPos=3756, millis=30656
vel=392.16, currPos=3776, millis=30707
vel=470.59, currPos=3800, millis=30758
vel=509.80, currPos=3826, millis=30809
vel=490.20, currPos=3851, millis=30860
vel=460.00, currPos=3874, millis=30911
vel=461.54, currPos=3898, millis=30962
vel=450.98, currPos=3921, millis=31013
vel=460.00, currPos=3944, millis=31064
vel=431.37, currPos=3966, millis=31115
vel=411.76, currPos=3987, millis=31166
vel=313.73, currPos=4003, millis=31217
vel=333.33, currPos=4020, millis=31267
vel=431.37, currPos=4042, millis=31318
vel=411.76, currPos=4063, millis=31369
read tag, millis=31411
vel=411.76, currPos=21, millis=31420
vel=400.00, currPos=41, millis=31471
vel=365.38, currPos=60, millis=31522
vel=392.16, currPos=80, millis=31573
vel=352.94, currPos=98, millis=31624
vel=380.00, currPos=117, millis=31675
vel=333.33, currPos=134, millis=31726
vel=288.46, currPos=149, millis=31777
vel=333.33, currPos=166, millis=31828
vel=460.00, currPos=189, millis=31879
vel=509.80, currPos=215, millis=31930
vel=509.80, currPos=241, millis=31981
vel=470.59, currPos=265, millis=32032
vel=470.59, currPos=289, millis=32083
vel=450.98, currPos=312, millis=32134
vel=431.37, currPos=334, millis=32185
vel=440.00, currPos=356, millis=32236
vel=461.54, currPos=380, millis=32287
vel=411.76, currPos=401, millis=32338
vel=352.94, currPos=419, millis=32389
vel=340.00, currPos=436, millis=32439
vel=313.73, currPos=452, millis=32490
vel=288.46, currPos=467, millis=32541
vel=274.51, currPos=481, millis=32592
vel=300.00, currPos=496, millis=32643
vel=333.33, currPos=513, millis=32694
vel=372.55, currPos=532, millis=32745
vel=372.55, currPos=551, millis=32796
vel=333.33, currPos=568, millis=32847
vel=313.73, currPos=584, millis=32898
vel=294.12, currPos=599, millis=32949
vel=300.00, currPos=614, millis=33000
vel=274.51, currPos=628, millis=33051
vel=230.77, currPos=640, millis=33102
vel=235.29, currPos=652, millis=33153
vel=220.00, currPos=663, millis=33204
vel=196.08, currPos=673, millis=33255
vel=156.86, currPos=681, millis=33305
vel=134.62, currPos=688, millis=33356
vel=140.00, currPos=695, millis=33407
vel=117.65, currPos=701, millis=33458
vel=117.65, currPos=707, millis=33509
vel=120.00, currPos=713, millis=33560
vel=115.38, currPos=719, millis=33611
vel=98.04, currPos=724, millis=33662
vel=80.00, currPos=728, millis=33713
vel=78.43, currPos=732, millis=33763
vel=78.43, currPos=736, millis=33814
vel=58.82, currPos=739, millis=33865
vel=58.82, currPos=742, millis=33916
vel=39.22, currPos=744, millis=33967
vel=19.61, currPos=745, millis=34018
vel=20.00, currPos=746, millis=34069
vel=19.61, currPos=747, millis=34120
vel=-10.53, currPos=746, millis=34213
vel=-15.87, currPos=745, millis=34277
vel=-14.49, currPos=744, millis=34346
vel=-13.51, currPos=743, millis=34419
vel=-14.29, currPos=742, millis=34490
vel=-12.82, currPos=741, millis=34568
vel=7.75, currPos=742, millis=34697
vel=60.00, currPos=745, millis=34748
vel=156.86, currPos=753, millis=34799
vel=192.31, currPos=763, millis=34851
vel=215.69, currPos=774, millis=34902
vel=320.00, currPos=790, millis=34953
vel=352.94, currPos=808, millis=35004
vel=313.73, currPos=824, millis=35055
vel=352.94, currPos=842, millis=35106
vel=352.94, currPos=860, millis=35156
vel=313.73, currPos=876, millis=35207
vel=333.33, currPos=893, millis=35258
vel=340.00, currPos=910, millis=35309
