030817_mouseTest1
START time
19:29
treadmill_hiddenRewMult_030817a
numRew=4
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 800, 1600, 2400, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=2157
starting track calibration
read tag, millis=11628
calibration complete
track length=4655
START SESSION, millis=11633
vel=1823.53, currPos=4481, millis=26996
vel=2080.00, currPos=4585, millis=27047
vel=1215.69, currPos=4647, millis=27098
vel=634.62, currPos=4680, millis=27149
vel=-1340.00, currPos=4613, millis=27199
vel=2.27, currPos=4614, millis=27640
vel=700.00, currPos=4649, millis=27692
vel=745.10, currPos=4687, millis=27742
vel=803.92, currPos=4728, millis=27793
vel=1549.02, currPos=4807, millis=27844
vel=1820.00, currPos=91, millis=27894
rewZone=0, millis=27895
vel=882.35, currPos=136, millis=27945
vel=882.35, currPos=181, millis=27997
vel=1019.61, currPos=233, millis=28047
vel=372.55, currPos=252, millis=28098
vel=-900.00, currPos=207, millis=28148
vel=-2294.12, currPos=90, millis=28199
vel=8.40, currPos=91, millis=28318
vel=2.75, currPos=92, millis=28683
vel=192.31, currPos=102, millis=28734
vel=540.00, currPos=129, millis=28784
vel=1411.76, currPos=201, millis=28835
vel=1980.39, currPos=302, millis=28887
vel=1300.00, currPos=367, millis=28937
vel=-38.46, currPos=365, millis=28987
vel=-400.00, currPos=345, millis=29038
vel=19.61, currPos=346, millis=29089
vel=-2.24, currPos=345, millis=29536
vel=-57.69, currPos=342, millis=29587
vel=15.63, currPos=343, millis=29652
vel=40.00, currPos=345, millis=29703
vel=346.15, currPos=363, millis=29754
vel=431.37, currPos=385, millis=29805
vel=660.00, currPos=418, millis=29856
rewZone=1, millis=29856
vel=1098.04, currPos=474, millis=29906
vel=1100.00, currPos=529, millis=29958
vel=1365.38, currPos=600, millis=30008
vel=760.00, currPos=638, millis=30059
vel=274.51, currPos=652, millis=30110
vel=117.65, currPos=658, millis=30160
vel=40.00, currPos=660, millis=30211
vel=1.96, currPos=661, millis=30722
vel=254.90, currPos=674, millis=30773
vel=176.47, currPos=683, millis=30823
vel=392.16, currPos=703, millis=30874
vel=760.00, currPos=741, millis=30925
vel=2156.86, currPos=851, millis=30977
rewZone=2, millis=30978
vel=1640.00, currPos=933, millis=31027
vel=96.15, currPos=938, millis=31077
vel=58.82, currPos=941, millis=31128
vel=1600.00, currPos=1021, millis=31179
vel=470.59, currPos=1045, millis=31230
vel=-20.00, currPos=1044, millis=31280
vel=2.10, currPos=1045, millis=31758
vel=365.38, currPos=1064, millis=31809
vel=560.00, currPos=1092, millis=31859
vel=1176.47, currPos=1152, millis=31910
vel=1411.76, currPos=1224, millis=31962
rewZone=3, millis=31962
vel=1240.00, currPos=1286, millis=32012
vel=1153.85, currPos=1346, millis=32063
vel=720.00, currPos=1382, millis=32114
vel=1098.04, currPos=1438, millis=32164
vel=-1627.45, currPos=1355, millis=32215
vel=-100.00, currPos=1350, millis=32265
vel=2.04, currPos=1351, millis=32754
vel=180.00, currPos=1360, millis=32805
vel=294.12, currPos=1375, millis=32857
vel=340.00, currPos=1392, millis=32907
vel=634.62, currPos=1425, millis=32958
vel=660.00, currPos=1458, millis=33009
vel=686.27, currPos=1493, millis=33059
vel=1360.00, currPos=1561, millis=33111
vel=1156.86, currPos=1620, millis=33162
vel=1076.92, currPos=1676, millis=33212
vel=700.00, currPos=1711, millis=33263
vel=-1235.29, currPos=1648, millis=33313
vel=-1160.00, currPos=1590, millis=33364
vel=2.04, currPos=1591, millis=33853
vel=380.00, currPos=1610, millis=33904
vel=313.73, currPos=1626, millis=33954
vel=784.31, currPos=1666, millis=34006
vel=880.00, currPos=1710, millis=34057
vel=1294.12, currPos=1776, millis=34107
vel=1176.47, currPos=1836, millis=34158
vel=549.02, currPos=1864, millis=34209
vel=760.00, currPos=1902, millis=34259
vel=823.53, currPos=1944, millis=34311
vel=-137.25, currPos=1937, millis=34360
vel=-176.47, currPos=1928, millis=34411
vel=1.80, currPos=1929, millis=34968
vel=333.33, currPos=1946, millis=35019
vel=560.00, currPos=1974, millis=35070
vel=980.39, currPos=2024, millis=35121
vel=1480.00, currPos=2098, millis=35172
vel=1346.15, currPos=2168, millis=35223
vel=882.35, currPos=2213, millis=35273
vel=660.00, currPos=2246, millis=35324
vel=1058.82, currPos=2300, millis=35376
vel=98.04, currPos=2305, millis=35426
vel=280.00, currPos=2319, millis=35477
vel=-557.69, currPos=2290, millis=35527
vel=-460.00, currPos=2267, millis=35578
vel=-1.70, currPos=2266, millis=36167
vel=-5.00, currPos=2265, millis=36368
vel=19.61, currPos=2266, millis=36419
vel=254.90, currPos=2279, millis=36470
vel=400.00, currPos=2299, millis=36521
vel=882.35, currPos=2344, millis=36572
vel=1137.26, currPos=2402, millis=36623
vel=529.41, currPos=2429, millis=36674
vel=470.59, currPos=2453, millis=36724
vel=980.39, currPos=2503, millis=36775
vel=1020.00, currPos=2554, millis=36827
vel=823.53, currPos=2596, millis=36877
vel=1260.00, currPos=2659, millis=36928
vel=596.15, currPos=2690, millis=36979
vel=921.57, currPos=2737, millis=37029
vel=1440.00, currPos=2809, millis=37081
vel=333.33, currPos=2826, millis=37132
vel=-1.08, currPos=2825, millis=38057
vel=-254.90, currPos=2812, millis=38109
vel=-240.00, currPos=2800, millis=38160
vel=-519.23, currPos=2773, millis=38211
vel=-411.76, currPos=2752, millis=38261
vel=-840.00, currPos=2710, millis=38312
vel=-882.35, currPos=2665, millis=38364
vel=-823.53, currPos=2623, millis=38414
vel=-220.00, currPos=2612, millis=38465
vel=-307.69, currPos=2596, millis=38516
vel=-640.00, currPos=2564, millis=38566
vel=-941.18, currPos=2516, millis=38618
vel=-117.65, currPos=2510, millis=38668
vel=-20.00, currPos=2509, millis=38719
vel=-96.15, currPos=2504, millis=38770
vel=-80.00, currPos=2500, millis=38820
vel=-58.82, currPos=2497, millis=38872
vel=-80.00, currPos=2493, millis=38922
vel=-58.82, currPos=2490, millis=38973
vel=19.23, currPos=2491, millis=39024
vel=0.30, currPos=2492, millis=42357
vel=117.65, currPos=2498, millis=42407
vel=40.00, currPos=2500, millis=42459
vel=-10.99, currPos=2499, millis=42550
vel=10.99, currPos=2500, millis=42641
vel=100.00, currPos=2505, millis=42691
vel=230.77, currPos=2517, millis=42743
vel=640.00, currPos=2549, millis=42793
vel=764.71, currPos=2588, millis=42845
vel=470.59, currPos=2612, millis=42896
vel=420.00, currPos=2633, millis=42946
vel=288.46, currPos=2648, millis=42997
vel=40.00, currPos=2650, millis=43047
vel=19.61, currPos=2651, millis=43099
vel=-19.61, currPos=2650, millis=43149
vel=40.00, currPos=2652, millis=43200
vel=470.59, currPos=2676, millis=43251
vel=137.25, currPos=2683, millis=43301
vel=-470.59, currPos=2659, millis=43353
vel=-529.41, currPos=2632, millis=43404
vel=240.00, currPos=2644, millis=43455
vel=1019.61, currPos=2696, millis=43506
vel=352.94, currPos=2714, millis=43556
vel=392.16, currPos=2734, millis=43608
vel=39.22, currPos=2736, millis=43658
vel=-60.00, currPos=2733, millis=43708
vel=176.47, currPos=2742, millis=43759
vel=686.27, currPos=2777, millis=43810
vel=372.55, currPos=2796, millis=43862
vel=333.33, currPos=2813, millis=43913
vel=160.00, currPos=2821, millis=43963
vel=39.22, currPos=2823, millis=44014
vel=117.65, currPos=2829, millis=44064
vel=137.25, currPos=2836, millis=44115
vel=2.90, currPos=2837, millis=44461
vel=-11.63, currPos=2836, millis=44547
vel=-58.82, currPos=2833, millis=44598
vel=60.00, currPos=2836, millis=44649
vel=431.37, currPos=2858, millis=44700
vel=673.08, currPos=2893, millis=44751
vel=1280.00, currPos=2957, millis=44802
vel=1156.86, currPos=3016, millis=44853
vel=440.00, currPos=3038, millis=44904
vel=392.16, currPos=3058, millis=44955
vel=750.00, currPos=3097, millis=45005
vel=860.00, currPos=3140, millis=45057
vel=1098.04, currPos=3196, millis=45108
vel=1137.26, currPos=3254, millis=45158
vel=160.00, currPos=3262, millis=45208
vel=38.46, currPos=3264, millis=45259
vel=1.78, currPos=3265, millis=45824
vel=215.69, currPos=3276, millis=45875
vel=100.00, currPos=3281, millis=45926
vel=1235.29, currPos=3344, millis=45977
vel=1019.61, currPos=3396, millis=46027
vel=254.90, currPos=3409, millis=46078
vel=901.96, currPos=3455, millis=46130
vel=1940.00, currPos=3552, millis=46180
vel=1588.24, currPos=3633, millis=46231
vel=1137.26, currPos=3691, millis=46282
vel=862.75, currPos=3735, millis=46333
vel=803.92, currPos=3776, millis=46384
vel=725.49, currPos=3813, millis=46435
vel=1020.00, currPos=3864, millis=46486
vel=901.96, currPos=3910, millis=46536
vel=294.12, currPos=3925, millis=46587
vel=39.22, currPos=3927, millis=46638
vel=-8.13, currPos=3926, millis=46759
vel=-600.00, currPos=3896, millis=46811
vel=-78.43, currPos=3892, millis=46861
vel=-100.00, currPos=3887, millis=46912
vel=-39.22, currPos=3885, millis=46963
vel=-39.22, currPos=3883, millis=47013
vel=-254.90, currPos=3870, millis=47066
vel=-39.22, currPos=3868, millis=47116
vel=140.00, currPos=3875, millis=47167
vel=431.37, currPos=3897, millis=47218
vel=1078.43, currPos=3952, millis=47269
vel=2607.84, currPos=4085, millis=47321
vel=2411.76, currPos=4208, millis=47372
vel=2140.00, currPos=4315, millis=47422
vel=3627.45, currPos=4500, millis=47473
vel=960.78, currPos=4549, millis=47523
vel=1019.61, currPos=4601, millis=47575
vel=882.35, currPos=4646, millis=47626
vel=1020.00, currPos=4697, millis=47676
vel=372.55, currPos=4716, millis=47727
vel=823.53, currPos=4758, millis=47778
