123016_mouseTest1
START time
19:00
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=8022
starting track calibration
read tag, millis=13381
calibration complete
track length=4082
START SESSION button, millis = 20712
vel=0.15, currPos=393, millis=21698
vel=39.22, currPos=395, millis=21749
vel=57.69, currPos=398, millis=21800
vel=117.65, currPos=404, millis=21851
vel=140.00, currPos=411, millis=21902
vel=215.69, currPos=422, millis=21954
vel=274.51, currPos=436, millis=22005
vel=307.69, currPos=452, millis=22056
vel=372.55, currPos=471, millis=22107
vel=500.00, currPos=496, millis=22158
vel=529.41, currPos=523, millis=22209
vel=490.20, currPos=548, millis=22260
vel=480.77, currPos=573, millis=22311
vel=431.37, currPos=595, millis=22362
vel=431.37, currPos=617, millis=22413
vel=500.00, currPos=642, millis=22464
vel=470.59, currPos=666, millis=22515
vel=470.59, currPos=690, millis=22566
vel=423.08, currPos=712, millis=22617
vel=392.16, currPos=732, millis=22668
vel=490.20, currPos=757, millis=22720
vel=660.00, currPos=790, millis=22771
vel=705.88, currPos=826, millis=22822
vel=653.85, currPos=860, millis=22873
vel=666.67, currPos=894, millis=22924
vel=686.27, currPos=929, millis=22975
vel=640.00, currPos=961, millis=23026
vel=607.84, currPos=992, millis=23077
vel=596.15, currPos=1023, millis=23128
vel=607.84, currPos=1054, millis=23179
vel=607.84, currPos=1085, millis=23230
vel=549.02, currPos=1113, millis=23281
vel=420.00, currPos=1134, millis=23332
vel=365.38, currPos=1153, millis=23383
vel=431.37, currPos=1175, millis=23434
vel=490.20, currPos=1200, millis=23485
vel=470.59, currPos=1224, millis=23536
vel=411.76, currPos=1245, millis=23587
vel=411.76, currPos=1266, millis=23638
vel=411.76, currPos=1287, millis=23690
vel=392.16, currPos=1307, millis=23741
vel=411.76, currPos=1328, millis=23792
vel=372.55, currPos=1347, millis=23843
vel=346.15, currPos=1365, millis=23894
vel=340.00, currPos=1382, millis=23945
vel=333.33, currPos=1399, millis=23996
vel=431.37, currPos=1421, millis=24047
vel=490.20, currPos=1446, millis=24098
vel=557.69, currPos=1475, millis=24149
