021017_mouseTest1
START time
17:49
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=106
starting track calibration
read tag, millis=7940
calibration complete
track length=3895
START SESSION button, millis = 9898
vel=-19.61, currPos=683, millis=9941
vel=-19.61, currPos=682, millis=9992
vel=-19.61, currPos=681, millis=10043
vel=-20.00, currPos=680, millis=10094
vel=6.94, currPos=681, millis=10239
vel=2.72, currPos=682, millis=10606
vel=58.82, currPos=685, millis=10656
vel=120.00, currPos=691, millis=10707
vel=230.77, currPos=703, millis=10758
vel=372.55, currPos=722, millis=10809
vel=520.00, currPos=748, millis=10860
vel=568.63, currPos=777, millis=10911
vel=560.00, currPos=805, millis=10961
vel=529.41, currPos=832, millis=11012
vel=509.80, currPos=858, millis=11063
vel=529.41, currPos=885, millis=11114
vel=509.80, currPos=911, millis=11165
vel=520.00, currPos=937, millis=11215
vel=588.24, currPos=967, millis=11266
vel=764.71, currPos=1006, millis=11317
vel=843.14, currPos=1049, millis=11368
vel=820.00, currPos=1090, millis=11418
vel=803.92, currPos=1131, millis=11469
vel=823.53, currPos=1173, millis=11520
vel=764.71, currPos=1212, millis=11571
vel=745.10, currPos=1250, millis=11622
vel=640.00, currPos=1282, millis=11672
vel=647.06, currPos=1315, millis=11723
vel=700.00, currPos=1350, millis=11774
vel=705.88, currPos=1386, millis=11825
vel=692.31, currPos=1422, millis=11876
vel=720.00, currPos=1458, millis=11926
vel=686.27, currPos=1493, millis=11977
vel=700.00, currPos=1528, millis=12028
vel=666.67, currPos=1562, millis=12079
vel=627.45, currPos=1594, millis=12129
vel=686.27, currPos=1629, millis=12180
vel=705.88, currPos=1665, millis=12231
vel=720.00, currPos=1701, millis=12282
vel=686.27, currPos=1736, millis=12333
vel=666.67, currPos=1770, millis=12383
vel=686.27, currPos=1805, millis=12434
vel=607.84, currPos=1836, millis=12485
vel=540.00, currPos=1863, millis=12536
vel=627.45, currPos=1895, millis=12586
vel=725.49, currPos=1932, millis=12637
vel=705.88, currPos=1968, millis=12688
vel=700.00, currPos=2003, millis=12739
vel=705.88, currPos=2039, millis=12790
vel=666.67, currPos=2073, millis=12840
vel=640.00, currPos=2105, millis=12891
vel=557.69, currPos=2134, millis=12942
vel=660.00, currPos=2167, millis=12993
vel=666.67, currPos=2201, millis=13043
vel=660.00, currPos=2234, millis=13094
vel=627.45, currPos=2266, millis=13145
vel=634.62, currPos=2299, millis=13196
vel=620.00, currPos=2330, millis=13247
vel=607.84, currPos=2361, millis=13297
vel=600.00, currPos=2391, millis=13348
vel=588.24, currPos=2421, millis=13399
vel=607.84, currPos=2452, millis=13450
vel=607.84, currPos=2483, millis=13500
vel=588.24, currPos=2513, millis=13551
vel=620.00, currPos=2544, millis=13602
vel=568.63, currPos=2573, millis=13653
vel=588.24, currPos=2603, millis=13704
vel=509.80, currPos=2629, millis=13754
vel=520.00, currPos=2655, millis=13805
vel=549.02, currPos=2683, millis=13856
vel=607.84, currPos=2714, millis=13907
vel=600.00, currPos=2744, millis=13957
vel=538.46, currPos=2772, millis=14008
vel=560.00, currPos=2800, millis=14059
vel=549.02, currPos=2828, millis=14110
vel=520.00, currPos=2854, millis=14161
vel=509.80, currPos=2880, millis=14211
vel=576.92, currPos=2910, millis=14262
vel=640.00, currPos=2942, millis=14313
vel=627.45, currPos=2974, millis=14364
vel=600.00, currPos=3004, millis=14415
vel=549.02, currPos=3032, millis=14465
vel=519.23, currPos=3059, millis=14516
vel=540.00, currPos=3086, millis=14567
vel=549.02, currPos=3114, millis=14618
vel=680.00, currPos=3148, millis=14668
vel=647.06, currPos=3181, millis=14719
vel=660.00, currPos=3214, millis=14770
vel=634.62, currPos=3247, millis=14821
vel=607.84, currPos=3278, millis=14872
vel=600.00, currPos=3308, millis=14922
vel=568.63, currPos=3337, millis=14973
vel=600.00, currPos=3367, millis=15024
vel=519.23, currPos=3394, millis=15075
vel=540.00, currPos=3421, millis=15125
vel=509.80, currPos=3447, millis=15176
vel=509.80, currPos=3473, millis=15227
vel=520.00, currPos=3499, millis=15278
vel=442.31, currPos=3522, millis=15329
vel=460.00, currPos=3545, millis=15379
vel=450.98, currPos=3568, millis=15430
vel=440.00, currPos=3590, millis=15481
vel=431.37, currPos=3612, millis=15532
vel=403.85, currPos=3633, millis=15582
vel=420.00, currPos=3654, millis=15633
vel=372.55, currPos=3673, millis=15684
vel=400.00, currPos=3693, millis=15735
vel=392.16, currPos=3713, millis=15786
vel=380.00, currPos=3732, millis=15836
vel=365.38, currPos=3751, millis=15887
vel=352.94, currPos=3769, millis=15938
vel=360.00, currPos=3787, millis=15989
vel=333.33, currPos=3804, millis=16039
vel=340.00, currPos=3821, millis=16090
vel=326.92, currPos=3838, millis=16141
vel=320.00, currPos=3854, millis=16192
vel=333.33, currPos=3871, millis=16243
vel=294.12, currPos=3886, millis=16293
vel=200.00, currPos=3896, millis=16344
vel=38.46, currPos=3898, millis=16394
vel=-80.00, currPos=3894, millis=16445
vel=-176.47, currPos=3885, millis=16495
vel=-280.00, currPos=3871, millis=16547
vel=-372.55, currPos=3852, millis=16597
vel=-431.37, currPos=3830, millis=16648
vel=-490.20, currPos=3805, millis=16699
vel=-509.80, currPos=3779, millis=16750
vel=-600.00, currPos=3749, millis=16800
vel=-588.24, currPos=3719, millis=16851
vel=-600.00, currPos=3689, millis=16902
vel=-557.69, currPos=3660, millis=16953
vel=-580.00, currPos=3631, millis=17004
vel=-568.63, currPos=3602, millis=17054
vel=-568.63, currPos=3573, millis=17105
vel=-540.00, currPos=3546, millis=17156
vel=-500.00, currPos=3520, millis=17207
