021417_mouseTest2
START time
13:35
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=1500
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=7597
starting track calibration
read tag, millis=21638
calibration complete
track length=3990
START SESSION button, millis = 37109
vel=-11.49, currPos=3204, millis=37130
vel=-19.23, currPos=3203, millis=37183
vel=-16.67, currPos=3202, millis=37243
vel=-19.61, currPos=3201, millis=37294
vel=-11.90, currPos=3200, millis=37377
vel=-9.90, currPos=3199, millis=37479
vel=5.99, currPos=3200, millis=37646
vel=5.95, currPos=3201, millis=37814
vel=-4.24, currPos=3200, millis=38049
vel=1.34, currPos=3201, millis=38798
vel=40.00, currPos=3203, millis=38848
vel=134.62, currPos=3210, millis=38899
vel=215.69, currPos=3221, millis=38951
vel=260.00, currPos=3234, millis=39002
vel=333.33, currPos=3251, millis=39052
vel=392.16, currPos=3271, millis=39103
vel=470.59, currPos=3295, millis=39154
vel=549.02, currPos=3323, millis=39205
vel=627.45, currPos=3355, millis=39256
vel=640.00, currPos=3387, millis=39307
vel=666.67, currPos=3421, millis=39358
vel=711.54, currPos=3458, millis=39409
vel=780.00, currPos=3497, millis=39459
vel=745.10, currPos=3535, millis=39510
vel=784.31, currPos=3575, millis=39561
vel=780.00, currPos=3614, millis=39612
vel=705.88, currPos=3650, millis=39663
vel=711.54, currPos=3687, millis=39714
vel=720.00, currPos=3723, millis=39765
vel=686.27, currPos=3758, millis=39816
vel=647.06, currPos=3791, millis=39866
vel=660.00, currPos=3824, millis=39917
vel=653.85, currPos=3858, millis=39968
vel=607.84, currPos=3889, millis=40019
vel=620.00, currPos=3920, millis=40070
vel=607.84, currPos=3951, millis=40121
vel=588.24, currPos=3981, millis=40172
vel=490.20, currPos=4006, millis=40223
read tag, millis=40237
vel=450.98, currPos=23, millis=40273
vel=627.45, currPos=55, millis=40324
vel=960.00, currPos=103, millis=40375
vel=1117.65, currPos=160, millis=40426
vel=1230.77, currPos=224, millis=40477
vel=1260.00, currPos=287, millis=40528
vel=1254.90, currPos=351, millis=40579
vel=1215.69, currPos=413, millis=40630
vel=1240.00, currPos=475, millis=40680
vel=1173.08, currPos=536, millis=40731
vel=1196.08, currPos=597, millis=40782
vel=1160.00, currPos=655, millis=40833
vel=1137.26, currPos=713, millis=40884
vel=1117.65, currPos=770, millis=40935
vel=1100.00, currPos=825, millis=40986
vel=1057.69, currPos=880, millis=41037
vel=1039.22, currPos=933, millis=41087
vel=1080.00, currPos=987, millis=41138
vel=1000.00, currPos=1038, millis=41189
vel=882.35, currPos=1083, millis=41240
vel=803.92, currPos=1124, millis=41291
vel=862.75, currPos=1168, millis=41342
vel=980.39, currPos=1218, millis=41393
vel=1060.00, currPos=1271, millis=41444
vel=1000.00, currPos=1322, millis=41494
vel=1000.00, currPos=1374, millis=41545
vel=1020.00, currPos=1425, millis=41596
vel=1000.00, currPos=1476, millis=41647
vel=1000.00, currPos=1527, millis=41698
vel=980.00, currPos=1576, millis=41749
vel=961.54, currPos=1626, millis=41800
vel=980.39, currPos=1676, millis=41851
vel=960.00, currPos=1724, millis=41901
vel=960.78, currPos=1773, millis=41952
vel=921.57, currPos=1820, millis=42003
vel=921.57, currPos=1867, millis=42054
vel=901.96, currPos=1913, millis=42105
vel=784.31, currPos=1953, millis=42156
vel=740.00, currPos=1990, millis=42207
vel=823.53, currPos=2032, millis=42258
vel=921.57, currPos=2079, millis=42308
vel=921.57, currPos=2126, millis=42359
vel=921.57, currPos=2173, millis=42410
vel=901.96, currPos=2219, millis=42461
vel=920.00, currPos=2265, millis=42512
vel=882.35, currPos=2310, millis=42563
vel=846.15, currPos=2354, millis=42614
vel=900.00, currPos=2399, millis=42665
vel=843.14, currPos=2442, millis=42715
vel=803.92, currPos=2483, millis=42766
vel=820.00, currPos=2524, millis=42817
vel=788.46, currPos=2565, millis=42868
vel=760.00, currPos=2603, millis=42919
vel=745.10, currPos=2641, millis=42970
vel=745.10, currPos=2679, millis=43021
vel=680.00, currPos=2713, millis=43072
vel=615.38, currPos=2745, millis=43122
vel=647.06, currPos=2778, millis=43173
vel=640.00, currPos=2810, millis=43224
vel=588.24, currPos=2840, millis=43275
vel=568.63, currPos=2869, millis=43326
vel=580.00, currPos=2898, millis=43377
vel=538.46, currPos=2926, millis=43428
vel=490.20, currPos=2951, millis=43479
vel=460.00, currPos=2974, millis=43529
vel=431.37, currPos=2996, millis=43580
vel=411.76, currPos=3017, millis=43631
vel=392.16, currPos=3037, millis=43682
vel=352.94, currPos=3055, millis=43733
vel=333.33, currPos=3072, millis=43784
vel=280.00, currPos=3086, millis=43835
vel=215.69, currPos=3097, millis=43886
vel=211.54, currPos=3108, millis=43936
vel=220.00, currPos=3119, millis=43987
vel=176.47, currPos=3128, millis=44038
vel=176.47, currPos=3137, millis=44088
vel=180.00, currPos=3146, millis=44139
vel=173.08, currPos=3155, millis=44190
vel=137.25, currPos=3162, millis=44241
vel=140.00, currPos=3169, millis=44292
vel=117.65, currPos=3175, millis=44343
vel=100.00, currPos=3180, millis=44393
vel=76.92, currPos=3184, millis=44444
vel=58.82, currPos=3187, millis=44495
vel=20.00, currPos=3188, millis=44546
vel=-9.71, currPos=3187, millis=44649
vel=-19.23, currPos=3186, millis=44699
vel=-60.00, currPos=3183, millis=44750
vel=-39.22, currPos=3181, millis=44801
vel=-80.00, currPos=3177, millis=44852
vel=-58.82, currPos=3174, millis=44903
vel=-78.43, currPos=3170, millis=44954
vel=-78.43, currPos=3166, millis=45004
vel=-58.82, currPos=3163, millis=45055
vel=-39.22, currPos=3161, millis=45106
vel=100.00, currPos=3166, millis=45157
vel=313.73, currPos=3182, millis=45209
