030817_mouseTest2
START time
20:16
treadmill_hiddenRewMult_030817a
numRew=10
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 400, 800, 1200, 1600, 2000, 2400, 2800, 3200, 3600, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=1446
starting track calibration
read tag, millis=8476
calibration complete
track length=4793
START SESSION, millis=8481
vel=442.31, currPos=3641, millis=39289
vel=160.00, currPos=3649, millis=39340
vel=392.16, currPos=3669, millis=39391
vel=560.00, currPos=3697, millis=39442
vel=705.88, currPos=3733, millis=39492
vel=313.73, currPos=3749, millis=39543
vel=19.61, currPos=3750, millis=39593
vel=0.76, currPos=3751, millis=40905
vel=235.29, currPos=3763, millis=40956
vel=274.51, currPos=3777, millis=41008
vel=460.00, currPos=3800, millis=41058
vel=568.63, currPos=3829, millis=41109
vel=1060.00, currPos=3882, millis=41160
vel=711.54, currPos=3919, millis=41210
vel=660.00, currPos=3952, millis=41262
vel=411.76, currPos=3973, millis=41313
vel=156.86, currPos=3981, millis=41363
vel=320.00, currPos=3997, millis=41414
vel=211.54, currPos=4008, millis=41465
vel=580.00, currPos=4037, millis=41516
vel=549.02, currPos=4065, millis=41567
vel=240.00, currPos=4077, millis=41617
vel=411.76, currPos=4098, millis=41668
vel=76.92, currPos=4102, millis=41718
vel=100.00, currPos=4107, millis=41769
vel=78.43, currPos=4111, millis=41820
vel=180.00, currPos=4120, millis=41871
vel=333.33, currPos=4137, millis=41922
vel=540.00, currPos=4164, millis=41973
vel=480.77, currPos=4189, millis=42023
vel=560.00, currPos=4217, millis=42075
vel=333.33, currPos=4234, millis=42126
vel=627.45, currPos=4266, millis=42176
vel=520.00, currPos=4292, millis=42227
vel=384.62, currPos=4312, millis=42278
vel=280.00, currPos=4326, millis=42329
vel=372.55, currPos=4345, millis=42380
vel=320.00, currPos=4361, millis=42430
vel=392.16, currPos=4381, millis=42481
vel=326.92, currPos=4398, millis=42532
vel=400.00, currPos=4418, millis=42583
vel=588.24, currPos=4448, millis=42634
vel=900.00, currPos=4493, millis=42685
vel=196.08, currPos=4503, millis=42735
vel=254.90, currPos=4516, millis=42786
vel=176.47, currPos=4525, millis=42836
vel=-39.22, currPos=4523, millis=42887
vel=-20.00, currPos=4522, millis=42938
vel=-215.69, currPos=4511, millis=42989
vel=-920.00, currPos=4465, millis=43039
vel=-1269.23, currPos=4399, millis=43090
vel=-1300.00, currPos=4334, millis=43142
vel=-1098.04, currPos=4278, millis=43192
vel=-840.00, currPos=4236, millis=43243
vel=-803.92, currPos=4195, millis=43294
vel=-865.38, currPos=4150, millis=43344
vel=-660.00, currPos=4117, millis=43396
vel=-823.53, currPos=4075, millis=43447
vel=-460.00, currPos=4052, millis=43497
vel=-58.82, currPos=4049, millis=43547
vel=-58.82, currPos=4046, millis=43598
vel=-196.08, currPos=4036, millis=43650
vel=-568.63, currPos=4007, millis=43701
vel=-780.00, currPos=3968, millis=43751
vel=-392.16, currPos=3948, millis=43802
vel=-294.12, currPos=3933, millis=43852
