010317_mouseTest1
START time
14:19
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=2684
starting track calibration
read tag, millis=12643
calibration complete
track length=4049
START SESSION button, millis = 23493
vel=0.11, currPos=273, millis=25966
vel=160.00, currPos=281, millis=26017
vel=346.15, currPos=299, millis=26069
vel=450.98, currPos=322, millis=26120
vel=588.24, currPos=352, millis=26171
vel=740.00, currPos=389, millis=26222
vel=725.49, currPos=426, millis=26272
vel=711.54, currPos=463, millis=26323
vel=725.49, currPos=500, millis=26374
vel=720.00, currPos=536, millis=26425
vel=725.49, currPos=573, millis=26476
vel=725.49, currPos=610, millis=26527
vel=720.00, currPos=646, millis=26578
vel=596.15, currPos=677, millis=26629
vel=450.98, currPos=700, millis=26680
vel=450.98, currPos=723, millis=26731
vel=440.00, currPos=745, millis=26782
vel=431.37, currPos=767, millis=26833
vel=384.62, currPos=787, millis=26884
vel=372.55, currPos=806, millis=26935
vel=360.00, currPos=824, millis=26986
vel=313.73, currPos=840, millis=27037
vel=431.37, currPos=862, millis=27088
vel=596.15, currPos=893, millis=27139
vel=660.00, currPos=926, millis=27190
vel=627.45, currPos=958, millis=27241
vel=627.45, currPos=990, millis=27292
vel=600.00, currPos=1020, millis=27343
vel=557.69, currPos=1049, millis=27394
vel=549.02, currPos=1077, millis=27444
vel=470.59, currPos=1101, millis=27495
vel=360.00, currPos=1119, millis=27546
vel=450.98, currPos=1142, millis=27597
vel=519.23, currPos=1169, millis=27648
vel=509.80, currPos=1195, millis=27699
vel=520.00, currPos=1221, millis=27750
vel=490.20, currPos=1246, millis=27801
vel=509.80, currPos=1272, millis=27852
vel=480.77, currPos=1297, millis=27903
vel=420.00, currPos=1318, millis=27954
vel=490.20, currPos=1343, millis=28005
vel=647.06, currPos=1376, millis=28056
vel=607.84, currPos=1407, millis=28107
vel=620.00, currPos=1438, millis=28158
vel=557.69, currPos=1467, millis=28209
vel=607.84, currPos=1498, millis=28260
vel=620.00, currPos=1529, millis=28311
vel=568.63, currPos=1558, millis=28362
vel=490.20, currPos=1583, millis=28413
vel=519.23, currPos=1610, millis=28464
vel=520.00, currPos=1636, millis=28515
vel=509.80, currPos=1662, millis=28565
vel=470.59, currPos=1686, millis=28616
vel=470.59, currPos=1710, millis=28667
vel=470.59, currPos=1734, millis=28718
vel=470.59, currPos=1758, millis=28769
vel=509.80, currPos=1784, millis=28820
vel=568.63, currPos=1813, millis=28871
vel=600.00, currPos=1843, millis=28922
vel=596.15, currPos=1874, millis=28973
vel=588.24, currPos=1904, millis=29024
vel=588.24, currPos=1934, millis=29075
vel=520.00, currPos=1960, millis=29126
vel=490.20, currPos=1985, millis=29177
vel=423.08, currPos=2007, millis=29228
vel=420.00, currPos=2028, millis=29279
vel=470.59, currPos=2052, millis=29330
vel=431.37, currPos=2074, millis=29381
vel=411.76, currPos=2095, millis=29432
vel=392.16, currPos=2115, millis=29483
vel=392.16, currPos=2135, millis=29534
vel=352.94, currPos=2153, millis=29585
vel=352.94, currPos=2171, millis=29636
vel=600.00, currPos=2201, millis=29687
vel=627.45, currPos=2233, millis=29737
vel=615.38, currPos=2265, millis=29788
vel=627.45, currPos=2297, millis=29839
vel=600.00, currPos=2327, millis=29890
vel=549.02, currPos=2355, millis=29941
vel=588.24, currPos=2385, millis=29992
vel=490.20, currPos=2410, millis=30043
vel=431.37, currPos=2432, millis=30094
vel=588.24, currPos=2462, millis=30145
vel=529.41, currPos=2489, millis=30196
vel=580.00, currPos=2518, millis=30247
vel=538.46, currPos=2546, millis=30298
vel=529.41, currPos=2573, millis=30349
vel=529.41, currPos=2600, millis=30400
vel=540.00, currPos=2627, millis=30451
vel=607.84, currPos=2658, millis=30502
vel=615.38, currPos=2690, millis=30553
vel=627.45, currPos=2722, millis=30604
vel=640.00, currPos=2754, millis=30655
vel=627.45, currPos=2786, millis=30706
vel=588.24, currPos=2816, millis=30757
vel=557.69, currPos=2845, millis=30808
vel=540.00, currPos=2872, millis=30858
vel=529.41, currPos=2899, millis=30909
vel=529.41, currPos=2926, millis=30960
vel=500.00, currPos=2951, millis=31011
vel=442.31, currPos=2974, millis=31062
vel=313.73, currPos=2990, millis=31113
vel=39.22, currPos=2992, millis=31164
vel=-120.00, currPos=2986, millis=31214
vel=-215.69, currPos=2975, millis=31266
vel=-431.37, currPos=2953, millis=31316
vel=-750.00, currPos=2914, millis=31367
vel=-980.00, currPos=2865, millis=31418
vel=-1078.43, currPos=2810, millis=31469
vel=-1078.43, currPos=2755, millis=31520
vel=-1100.00, currPos=2700, millis=31571
vel=-980.77, currPos=2649, millis=31622
vel=-960.78, currPos=2600, millis=31673
vel=-823.53, currPos=2558, millis=31724
vel=-680.00, currPos=2524, millis=31775
vel=-529.41, currPos=2497, millis=31826
