022117_mouseTest1
START time
19:46
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=1500
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=8137
starting track calibration
read tag, millis=18571
calibration complete
track length=3224
START SESSION button, millis = 21537
vel=313.73, currPos=1010, millis=21544
vel=300.00, currPos=1025, millis=21594
vel=294.12, currPos=1040, millis=21645
vel=274.51, currPos=1054, millis=21696
vel=269.23, currPos=1068, millis=21747
vel=280.00, currPos=1082, millis=21798
vel=235.29, currPos=1094, millis=21849
vel=254.90, currPos=1107, millis=21900
vel=215.69, currPos=1118, millis=21951
vel=220.00, currPos=1129, millis=22002
vel=211.54, currPos=1140, millis=22053
vel=196.08, currPos=1150, millis=22104
vel=176.47, currPos=1159, millis=22154
vel=180.00, currPos=1168, millis=22205
vel=176.47, currPos=1177, millis=22256
vel=153.85, currPos=1185, millis=22307
vel=160.00, currPos=1193, millis=22357
vel=137.25, currPos=1200, millis=22408
vel=117.65, currPos=1206, millis=22459
vel=140.00, currPos=1213, millis=22510
vel=96.15, currPos=1218, millis=22561
vel=117.65, currPos=1224, millis=22612
vel=100.00, currPos=1229, millis=22663
vel=78.43, currPos=1233, millis=22714
vel=98.04, currPos=1238, millis=22764
vel=78.43, currPos=1242, millis=22815
vel=58.82, currPos=1245, millis=22866
vel=78.43, currPos=1249, millis=22917
vel=39.22, currPos=1251, millis=22968
vel=60.00, currPos=1254, millis=23019
vel=38.46, currPos=1256, millis=23070
vel=39.22, currPos=1258, millis=23120
vel=40.00, currPos=1260, millis=23171
vel=19.61, currPos=1261, millis=23222
vel=17.54, currPos=1262, millis=23279
vel=-4.39, currPos=1261, millis=23506
vel=-14.08, currPos=1260, millis=23578
vel=-19.23, currPos=1259, millis=23629
vel=-19.61, currPos=1258, millis=23680
vel=-20.00, currPos=1257, millis=23731
vel=-39.22, currPos=1255, millis=23782
vel=-39.22, currPos=1253, millis=23832
vel=-39.22, currPos=1251, millis=23883
vel=-19.61, currPos=1250, millis=23934
vel=117.65, currPos=1256, millis=23986
vel=160.00, currPos=1264, millis=24036
vel=156.86, currPos=1272, millis=24087
vel=307.69, currPos=1288, millis=24139
vel=440.00, currPos=1310, millis=24190
vel=509.80, currPos=1336, millis=24240
vel=549.02, currPos=1364, millis=24291
vel=568.63, currPos=1393, millis=24342
vel=588.24, currPos=1423, millis=24393
vel=588.24, currPos=1453, millis=24444
vel=568.63, currPos=1482, millis=24495
vel=588.24, currPos=1512, millis=24546
vel=580.00, currPos=1541, millis=24597
vel=576.92, currPos=1571, millis=24648
vel=588.24, currPos=1601, millis=24699
vel=620.00, currPos=1632, millis=24750
vel=588.24, currPos=1662, millis=24801
vel=607.84, currPos=1693, millis=24851
vel=588.24, currPos=1723, millis=24902
vel=607.84, currPos=1754, millis=24953
vel=607.84, currPos=1785, millis=25004
vel=490.20, currPos=1810, millis=25055
vel=411.76, currPos=1831, millis=25106
vel=460.00, currPos=1854, millis=25157
vel=480.77, currPos=1879, millis=25208
vel=529.41, currPos=1906, millis=25259
vel=509.80, currPos=1932, millis=25310
vel=520.00, currPos=1958, millis=25361
vel=509.80, currPos=1984, millis=25412
vel=480.77, currPos=2009, millis=25462
vel=490.20, currPos=2034, millis=25513
vel=500.00, currPos=2059, millis=25564
vel=470.59, currPos=2083, millis=25615
vel=450.98, currPos=2106, millis=25666
vel=450.98, currPos=2129, millis=25717
vel=450.98, currPos=2152, millis=25768
vel=431.37, currPos=2174, millis=25819
vel=431.37, currPos=2196, millis=25870
vel=520.00, currPos=2222, millis=25921
vel=653.85, currPos=2256, millis=25972
vel=745.10, currPos=2294, millis=26023
vel=745.10, currPos=2332, millis=26073
vel=740.00, currPos=2369, millis=26124
vel=745.10, currPos=2407, millis=26175
vel=711.54, currPos=2444, millis=26226
vel=725.49, currPos=2481, millis=26277
vel=740.00, currPos=2518, millis=26328
vel=725.49, currPos=2555, millis=26379
vel=745.10, currPos=2593, millis=26430
vel=725.49, currPos=2630, millis=26481
vel=745.10, currPos=2668, millis=26532
vel=686.27, currPos=2703, millis=26583
vel=470.59, currPos=2727, millis=26634
vel=400.00, currPos=2747, millis=26684
vel=470.59, currPos=2771, millis=26735
vel=480.77, currPos=2796, millis=26786
vel=490.20, currPos=2821, millis=26837
vel=480.00, currPos=2845, millis=26888
vel=470.59, currPos=2869, millis=26939
vel=470.59, currPos=2893, millis=26990
vel=461.54, currPos=2917, millis=27041
vel=480.00, currPos=2941, millis=27092
vel=450.98, currPos=2964, millis=27143
vel=333.33, currPos=2981, millis=27194
vel=78.43, currPos=2985, millis=27244
vel=254.90, currPos=2998, millis=27295
vel=509.80, currPos=3024, millis=27346
vel=509.80, currPos=3050, millis=27397
vel=540.00, currPos=3077, millis=27448
vel=509.80, currPos=3103, millis=27499
vel=500.00, currPos=3129, millis=27550
vel=490.20, currPos=3154, millis=27601
vel=500.00, currPos=3179, millis=27652
