021417_mouseTest1
START time
13:14
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=11716
starting track calibration
read tag, millis=18233
calibration complete
track length=3971
START SESSION button, millis = 30525
vel=-0.10, currPos=686, millis=30802
vel=14.29, currPos=687, millis=30873
vel=-0.21, currPos=686, millis=35645
vel=-12.05, currPos=685, millis=35727
vel=7.35, currPos=686, millis=35864
vel=19.61, currPos=687, millis=35915
vel=160.00, currPos=695, millis=35966
vel=346.15, currPos=713, millis=36017
vel=568.63, currPos=742, millis=36068
vel=820.00, currPos=783, millis=36119
vel=1000.00, currPos=834, millis=36170
vel=1160.00, currPos=892, millis=36221
vel=1115.38, currPos=950, millis=36271
vel=1156.86, currPos=1009, millis=36322
vel=1140.00, currPos=1066, millis=36373
vel=1117.65, currPos=1123, millis=36424
vel=1137.26, currPos=1181, millis=36475
vel=1098.04, currPos=1237, millis=36526
vel=1137.26, currPos=1295, millis=36576
vel=1120.00, currPos=1351, millis=36627
vel=1117.65, currPos=1408, millis=36678
vel=1078.43, currPos=1463, millis=36729
vel=1140.00, currPos=1520, millis=36780
vel=1057.69, currPos=1575, millis=36831
vel=1100.00, currPos=1630, millis=36881
vel=1058.82, currPos=1684, millis=36932
vel=1039.22, currPos=1737, millis=36983
vel=1080.00, currPos=1791, millis=37034
vel=980.77, currPos=1842, millis=37085
vel=1019.61, currPos=1894, millis=37136
vel=1020.00, currPos=1945, millis=37186
vel=941.18, currPos=1993, millis=37237
vel=960.00, currPos=2041, millis=37288
vel=865.38, currPos=2086, millis=37339
vel=803.92, currPos=2127, millis=37390
vel=680.00, currPos=2161, millis=37440
vel=509.80, currPos=2187, millis=37491
vel=529.41, currPos=2214, millis=37542
vel=764.71, currPos=2253, millis=37593
vel=980.39, currPos=2303, millis=37644
vel=1020.00, currPos=2354, millis=37695
vel=1019.61, currPos=2406, millis=37745
vel=980.39, currPos=2456, millis=37796
vel=980.00, currPos=2505, millis=37847
vel=961.54, currPos=2555, millis=37898
vel=940.00, currPos=2602, millis=37949
vel=921.57, currPos=2649, millis=38000
vel=901.96, currPos=2695, millis=38050
vel=880.00, currPos=2739, millis=38101
vel=807.69, currPos=2781, millis=38152
vel=823.53, currPos=2823, millis=38203
vel=780.00, currPos=2862, millis=38254
vel=745.10, currPos=2900, millis=38305
vel=740.00, currPos=2937, millis=38355
vel=634.62, currPos=2970, millis=38406
vel=607.84, currPos=3001, millis=38457
vel=620.00, currPos=3032, millis=38508
vel=568.63, currPos=3061, millis=38559
vel=529.41, currPos=3088, millis=38610
vel=470.59, currPos=3112, millis=38660
vel=470.59, currPos=3136, millis=38711
vel=480.00, currPos=3160, millis=38762
vel=450.98, currPos=3183, millis=38813
vel=431.37, currPos=3205, millis=38864
vel=400.00, currPos=3225, millis=38914
vel=288.46, currPos=3240, millis=38965
vel=274.51, currPos=3254, millis=39016
vel=300.00, currPos=3269, millis=39067
vel=352.94, currPos=3287, millis=39118
vel=380.00, currPos=3306, millis=39169
vel=461.54, currPos=3330, millis=39220
vel=549.02, currPos=3358, millis=39270
vel=580.00, currPos=3387, millis=39321
vel=588.24, currPos=3417, millis=39372
vel=580.00, currPos=3446, millis=39423
vel=557.69, currPos=3475, millis=39474
vel=509.80, currPos=3501, millis=39524
vel=520.00, currPos=3527, millis=39575
vel=529.41, currPos=3554, millis=39626
vel=509.80, currPos=3580, millis=39677
vel=470.59, currPos=3604, millis=39728
vel=450.98, currPos=3627, millis=39779
vel=460.00, currPos=3650, millis=39829
vel=431.37, currPos=3672, millis=39880
vel=372.55, currPos=3691, millis=39931
vel=380.00, currPos=3710, millis=39982
vel=442.31, currPos=3733, millis=40033
vel=588.24, currPos=3763, millis=40084
vel=760.00, currPos=3801, millis=40134
vel=823.53, currPos=3843, millis=40185
vel=800.00, currPos=3883, millis=40236
vel=750.00, currPos=3922, millis=40287
vel=784.31, currPos=3962, millis=40338
vel=760.00, currPos=4000, millis=40389
read tag, millis=40402
vel=725.49, currPos=37, millis=40439
vel=740.00, currPos=74, millis=40490
vel=711.54, currPos=111, millis=40541
vel=686.27, currPos=146, millis=40592
vel=700.00, currPos=181, millis=40643
vel=705.88, currPos=217, millis=40694
vel=686.27, currPos=252, millis=40744
vel=627.45, currPos=284, millis=40795
vel=588.24, currPos=314, millis=40846
vel=540.00, currPos=341, millis=40897
